10,149282
11,153078
12,156539
13,159718
14,162660
15,165387
16,167949
17,170368
18,172610
19,174758
20,176791
21,178711
22,180559
23,182315
24,184003
25,185610
26,187171
27,188649
28,190103
29,191482
30,192840
31,194121
32,195349
33,196579
34,197758
35,198895
36,200010
37,201099
38,202148
39,203155
40,204177
41,205144
42,206103
43,207023
44,207919
45,208813
46,209679
47,210525
48,211352
49,212152
50,212960
51,213730
52,214502
53,215248
54,215998
55,216716
56,217429
57,218119
58,218813
59,219470
60,220139
61,220787
62,221431
63,222069
64,222674
65,223288
66,223881
67,224478
68,225060
69,225630
