Dimensione rete: 625, 	Numero di ricordi: 9
Probabilità distruzione	prodotto scalare finale 	2 autovalore laplaciano 	clustering 
0.701;1;149.72;0.301673
0.702;1;152.229;0.302146
0.703;1;153.397;0.303378
0.704;1;151.579;0.298511
0.705;0.9936;149.25;0.298171
0.706;1;149.763;0.299171
0.707;1;148.394;0.297349
0.708;1;145.961;0.29605
0.709;1;148.459;0.295592
0.71;1;145.02;0.294702
0.711;1;146.188;0.291575
0.712;1;138.151;0.292741
0.713;1;142.809;0.290631
0.714;0.9968;145.451;0.291747
0.715;0.9968;143.151;0.287258
0.716;1;141.854;0.286751
0.717;1;144.423;0.288333
0.718;0.9968;141.195;0.286712
0.719;1;137.346;0.28412
0.72;0.9968;141.315;0.282676
0.721;0.9936;139.963;0.281641
0.722;1;142.406;0.283611
0.723;0.9968;134.633;0.280665
0.724;1;135.274;0.279579
0.725;1;139.347;0.279764
0.726;0.9936;137.757;0.277612
0.727;0.9968;137.374;0.277925
0.728;1;133.467;0.274705
0.729;1;136.065;0.275865
0.73;1;137.587;0.275202
0.731;1;135.512;0.272495
0.732;1;135.356;0.272399
0.733;0.9968;132.895;0.271588
0.734;1;132.613;0.270648
0.735;1;132.824;0.269107
0.736;0.9968;130.963;0.267128
0.737;1;128.681;0.267392
0.738;1;128.934;0.265171
0.739;0.9968;130.77;0.265235
0.74;0.9968;128.847;0.263235
0.741;1;127.203;0.263107
0.742;1;124.963;0.260618
0.743;0.9968;128.708;0.260831
0.744;1;126.749;0.261913
0.745;1;125.073;0.257379
0.746;1;123.766;0.257903
0.747;1;126.387;0.255206
0.748;1;123.241;0.256726
0.749;0.9968;121.052;0.253288
0.75;1;124.569;0.254719
0.751;1;121.457;0.252648
0.752;0.9968;116.989;0.252511
0.753;1;123.555;0.251565
0.754;1;121.554;0.248228
0.755;0.9968;119.85;0.250466
0.756;1;121.036;0.247737
0.757;0.9968;118.804;0.247741
0.758;1;115.695;0.246152
0.759;1;114.86;0.244497
0.76;1;118.873;0.241966
0.761;1;115.614;0.243712
0.762;0.9968;116.856;0.242665
0.763;0.9968;114.325;0.242124
0.764;1;112.533;0.237844
0.765;1;115.007;0.23871
0.766;0.9968;113.056;0.238182
0.767;1;113.583;0.236944
0.768;1;113.918;0.236392
0.769;1;113.502;0.234215
0.77;0.9968;109.595;0.235994
0.771;0.9936;111.129;0.231472
0.772;0.9968;104.314;0.232165
0.773;1;112.092;0.23266
0.774;1;110.83;0.22942
0.775;1;110.065;0.230472
0.776;0.9968;107.867;0.228776
0.777;0.9968;108.123;0.226446
0.778;1;107.697;0.225287
0.779;1;105.521;0.224416
0.78;1;104.631;0.224151
0.781;1;105.137;0.222193
0.782;0.9968;104.34;0.22258
0.783;0.9936;100.155;0.221761
0.784;1;104.504;0.22279
0.785;0.9968;101.582;0.21871
