patterns, probability of distruction, occurrences
23,0.15,11344.8
23,0.16,11315.8
23,0.17,11288.7
23,0.18,11254.3
23,0.19,11208.6
23,0.2,11173.8
23,0.21,11127.9
23,0.22,11067.3
23,0.23,11028.3
23,0.24,10964.8
23,0.25,10903.1
23,0.26,10843.8
23,0.27,10792.7
23,0.28,10725.8
23,0.29,10657.6
23,0.3,10586.3
23,0.31,10513.6
23,0.32,10435.1
23,0.33,10373.1
23,0.34,10280.4
23,0.35,10209.7
23,0.36,10128.1
23,0.37,10036
23,0.38,9933.94
23,0.39,9851.73
23,0.4,9767.33
23,0.41,9664.35
23,0.42,9576.56
23,0.43,9470.82
23,0.44,9371.74
23,0.45,9291.43
23,0.46,9178.36
23,0.47,9066.95
23,0.48,8960.83
23,0.49,8860.94
23,0.5,8728.75
23,0.51,8613.35
23,0.52,8498.58
23,0.53,8388.39
23,0.54,8235.55
23,0.55,8152.38
23,0.56,8022.76
23,0.57,7889.58
23,0.58,7711.81
23,0.59,7583.6
23,0.6,7502.32
23,0.61,7369.9
23,0.62,7215.56
23,0.63,7024.9
23,0.64,6944.51
23,0.65,6799.67
23,0.66,6660.92
23,0.67,6500.44
23,0.68,6361.57
23,0.69,6223.59
23,0.7,6041.16
23,0.71,5819.68
23,0.72,5737.06
23,0.73,5563.39
23,0.74,5382.42
23,0.75,5264.69
23,0.76,5108.41
23,0.77,4782.84
23,0.78,4767.89
23,0.79,4361.18
24,0,11080.2
24,0.01,11054.4
24,0.02,11028.2
24,0.03,10990.2
24,0.04,10955.7
24,0.05,10922.2
24,0.06,10895.9
24,0.07,10859.9
24,0.08,10816.5
24,0.09,10768.3
24,0.1,10722.4
24,0.11,10678.8
24,0.12,10642.1
24,0.13,10579.3
24,0.14,10528.4
24,0.15,10466.2
24,0.16,10429.1
24,0.17,10366.1
24,0.18,10301.7
24,0.19,10244
24,0.2,10174.7
24,0.21,10118.2
24,0.22,10050.1
24,0.23,9990.61
24,0.24,9922.74
24,0.25,9839.86
24,0.26,9781.26
24,0.27,9703.63
24,0.28,9622.68
24,0.29,9545.48
24,0.3,9469.66
24,0.31,9404.28
24,0.32,9324.25
24,0.33,9249.64
24,0.34,9160.93
24,0.35,9064.38
24,0.36,8992.13
24,0.37,8871.52
24,0.38,8807.8
24,0.39,8731.29
24,0.4,8629.45
24,0.41,8532.55
24,0.42,8465.78
24,0.43,8344.99
24,0.44,8250.6
24,0.45,8172.86
24,0.46,8066.07
24,0.47,7960.36
24,0.48,7838.95
24,0.49,7753.61
24,0.5,7632.15
24,0.51,7545.81
24,0.52,7411.65
24,0.53,7328.8
24,0.54,7199.79
24,0.55,7112.77
24,0.56,6941.88
24,0.57,6856.31
24,0.58,6743.06
24,0.59,6641.07
24,0.6,6501.96
24,0.61,6387.51
24,0.62,6283.85
24,0.63,6128.05
24,0.64,5858.18
24,0.65,5869.7
24,0.66,5772.57
24,0.67,5623.2
24,0.68,5324.46
24,0.69,5346.23
24,0.7,5212.85
24,0.71,5083.56
24,0.72,4629.89
24,0.73,4811.28
24,0.74,4655
24,0.75,4512.35
24,0.76,4111.34
24,0.77,4211.39
24,0.78,4051.28
24,0.79,3919.61
25,0,11175.6
25,0.01,11311
25,0.02,11397.5
25,0.03,11458.6
25,0.04,11517.5
25,0.05,11555.6
25,0.06,11572.8
25,0.07,11579.4
25,0.08,11606.8
25,0.09,11603.2
25,0.1,11612.3
25,0.11,11601.7
25,0.12,11573.4
25,0.13,11566.4
25,0.14,11532
25,0.15,11502.3
25,0.16,11477.2
25,0.17,11447.5
25,0.18,11405.4
25,0.19,11361.3
25,0.2,11318.7
25,0.21,11272.4
25,0.22,11230.9
25,0.23,11166
25,0.24,11110.8
25,0.25,11047.2
25,0.26,10998.3
25,0.27,10915.4
25,0.28,10857
25,0.29,10778.8
25,0.3,10716.3
25,0.31,10636.2
25,0.32,10561.6
25,0.33,10484.6
25,0.34,10412.9
25,0.35,10309.8
25,0.36,10247.1
25,0.37,10149.8
25,0.38,10059.7
25,0.39,9973.11
25,0.4,9866.96
25,0.41,9778.49
25,0.42,9669.62
25,0.43,9589.3
25,0.44,9473.55
25,0.45,9385.7
25,0.46,9264.18
25,0.47,9166.59
25,0.48,9042.94
25,0.49,8922.21
25,0.5,8830.53
25,0.51,8696.96
25,0.52,8595.07
25,0.53,8459.52
25,0.54,8306
25,0.55,8216.01
25,0.56,8098.04
25,0.57,7976.24
25,0.58,7796.07
25,0.59,7690.08
25,0.6,7558.55
25,0.61,7359.72
25,0.62,7220.43
25,0.63,7159.17
25,0.64,7014.21
25,0.65,6759.77
25,0.66,6744.66
25,0.67,6564.81
25,0.68,6417.51
25,0.69,6056.4
25,0.7,6104.72
25,0.71,5922.75
25,0.72,5771.51
25,0.73,5402.44
25,0.74,5450.67
25,0.75,5293.03
25,0.76,5120.42
25,0.77,4706.63
25,0.78,4799.08
25,0.79,4602.44
26,0,11257.8
26,0.01,11236.8
26,0.02,11199.5
26,0.03,11177.7
26,0.04,11147.4
26,0.05,11117.6
26,0.06,11077.2
26,0.07,11038.5
26,0.08,10989.2
26,0.09,10939.5
26,0.1,10907.5
26,0.11,10856.3
26,0.12,10804.3
26,0.13,10747.9
